,Name,Price,Price_match,Ratings,reviews
44,Gibson SG Standard Electric Guitar,"2,020.49","msrp:1749.0,lowPrice:1499.0",4.5 of 5 stars,(8)
45,Gibson Les Paul Tribute Electric Guitar,"1,616.12","msrp:1399.0,lowPrice:1199.0",4.5 of 5 stars,(23)
46,Gibson Les Paul Standard '50s P-90 Electric Guitar,"3,368.38","msrp:2899.0,lowPrice:2499.0",5.0 of 5 stars,(3)
47,G&L Limited Edition Tribute ASAT Classic Bluesboy Electric Guitar,606.54,"msrp:,lowPrice:449.99",4.5 of 5 stars,(47)
48,Epiphone DR-100 Acoustic Guitar,200.84,"msrp:179.0,lowPrice:149.0",4.5 of 5 stars,(117)
49,G&L Limited Edition Tribute ASAT Classic Electric Guitar,606.54,"msrp:649.99,lowPrice:449.99",4.5 of 5 stars,(39)
50,Takamine G Series GD30CE-12 Dreadnought 12-String Acoustic-Electric Guitar,741.33,"msrp:769.99,lowPrice:549.99",4.5 of 5 stars,(26)
51,Rogue RG-624 Left-Handed Dreadnought Acoustic Guitar,134.78,"msrp:179.99,lowPrice:99.99",4.5 of 5 stars,(56)
52,Gibson SG Standard '61 Maestro Vibrola Electric Guitar,"2,694.43","msrp:2299.0,lowPrice:1999.0",4.5 of 5 stars,(5)
53,Mitchell D120 Dreadnought Acoustic Guitar,From Price ,"msrp:,lowPrice:99.99",4.0 of 5 stars,(38)
54,Epiphone Masterbilt DR-500MCE Acoustic-Electric Guitar,808.72,"msrp:1165.0,lowPrice:599.99",4.5 of 5 stars,(117)
55,Takamine EF341SC Legacy Series Acoustic-Electric Guitar,"2,021.82","msrp:2001.99,lowPrice:1499.99",4.5 of 5 stars,(21)
56,Epiphone Limited Edition SG Special-I Electric Guitar,235.87,"msrp:248.0,lowPrice:174.99",4.5 of 5 stars,(87)
57,Gibson SG Standard '61 Electric Guitar,"2,424.85","msrp:2099.0,lowPrice:1799.0",5.0 of 5 stars,(8)
58,Epiphone Casino Electric Guitar,874.78,"msrp:749.0,lowPrice:649.0",4.5 of 5 stars,(77)
59,Epiphone Les Paul Special-I Limited-Edition Electric Guitar,From Price ,"msrp:320.01,lowPrice:159.0",4.5 of 5 stars,(209)
60,Rogue Starter Acoustic Guitar,From Price ,"msrp:99.99,lowPrice:69.99",4.5 of 5 stars,(255)
61,Rogue Rocketeer Electric Guitar Pack,242.61,"msrp:399.99,lowPrice:179.99",4.0 of 5 stars,(133)
62,Gibson Les Paul Standard '60s Electric Guitar,"3,368.38","msrp:2899.0,lowPrice:2499.0",5.0 of 5 stars,(25)
63,Gibson Les Paul Standard '50s Electric Guitar,"3,368.38","msrp:2899.0,lowPrice:2499.0",4.5 of 5 stars,(32)
64,Gibson Les Paul Classic Electric Guitar,"2,694.43","msrp:2299.0,lowPrice:1999.0",5.0 of 5 stars,(18)
65,Gibson Les Paul Studio Electric Guitar,"2,020.49","msrp:1749.0,lowPrice:1499.0",5.0 of 5 stars,(23)
66,Takamine GD-30CE 12-String Acoustic-Electric Guitar,From Price ,"msrp:769.99,lowPrice:499.99",4.5 of 5 stars,(16)
67,Takamine EF381SC 12-String Acoustic-Electric Cutaway Guitar,"2,156.61","msrp:2155.99,lowPrice:1599.99",5.0 of 5 stars,(10)
68,Takamine P1DC-12 SM 12-String Dreadnought Acoustic-Electric Guitar,"1,750.91","msrp:2001.49,lowPrice:1299.0",5.0 of 5 stars,(2)
69,Rogue RA-090 Concert Cutaway Acoustic-Electric Guitar,From Price ,"msrp:300.0,lowPrice:119.99",4.0 of 5 stars,(51)
70,Epiphone Les Paul Special II Plus Top Limited-Edition Electric Guitar,308.67,"msrp:348.0,lowPrice:229.0",4.5 of 5 stars,(101)
71,Epiphone Les Paul Electric Guitar Player Pack,335.62,"msrp:289.0,lowPrice:249.0",4.5 of 5 stars,(88)
72,Takamine Pro Series 3 Dreadnought Cutaway 12-String Acoustic Electric Guita...,"2,156.61","msrp:2078.99,lowPrice:1599.99",5.0 of 5 stars,(5)
73,Gibson Les Paul Traditional PRO V Flame Top Electric Guitar,"3,772.74","msrp:5199.0,lowPrice:2799.0",4.5 of 5 stars,(11)
74,Gibson SG Standard Electric Guitar,"2,020.49","msrp:1749.0,lowPrice:1499.0",4.5 of 5 stars,(8)
75,Gibson Les Paul Tribute Electric Guitar,"1,616.12","msrp:1399.0,lowPrice:1199.0",4.5 of 5 stars,(23)
76,Gibson Les Paul Standard '50s P-90 Electric Guitar,"3,368.38","msrp:2899.0,lowPrice:2499.0",5.0 of 5 stars,(3)
77,G&L Limited Edition Tribute ASAT Classic Bluesboy Electric Guitar,606.54,"msrp:,lowPrice:449.99",4.5 of 5 stars,(47)
78,Epiphone DR-100 Acoustic Guitar,200.84,"msrp:179.0,lowPrice:149.0",4.5 of 5 stars,(117)
79,G&L Limited Edition Tribute ASAT Classic Electric Guitar,606.54,"msrp:649.99,lowPrice:449.99",4.5 of 5 stars,(39)
80,Takamine G Series GD30CE-12 Dreadnought 12-String Acoustic-Electric Guitar,741.33,"msrp:769.99,lowPrice:549.99",4.5 of 5 stars,(26)
81,Rogue RG-624 Left-Handed Dreadnought Acoustic Guitar,134.78,"msrp:179.99,lowPrice:99.99",4.5 of 5 stars,(56)
